Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination,Year,Country,Match
28,CRO,7,R,L,1,0,2,0,2018,Croatia,Denmark vs. Croatia
28,DEN,3,R,C,1,1,3,0,2018,Denmark,Denmark vs. Croatia
28,CRO,7,R,C,1,1,4,0,2018,Croatia,Denmark vs. Croatia
28,DEN,7,R,R,1,1,5,0,2018,Denmark,Denmark vs. Croatia
28,CRO,8,R,R,1,1,6,0,2018,Croatia,Denmark vs. Croatia
28,DEN,4,R,L,1,0,7,0,2018,Denmark,Denmark vs. Croatia
28,CRO,7,L,L,1,0,8,0,2018,Croatia,Denmark vs. Croatia
28,DEN,8,R,R,1,0,9,0,2018,Denmark,Denmark vs. Croatia
28,CRO,7,R,C,1,1,10,1,2018,Croatia,Denmark vs. Croatia
29,COL,5,R,L,1,1,1,0,2018,Colombia,Colombia vs. England
29,ENG,7,R,L,1,1,2,0,2018,England,Colombia vs. England
29,COL,1,R,L,1,1,3,0,2018,Colombia,Colombia vs. England
29,ENG,7,R,L,1,1,4,0,2018,England,Colombia vs. England
29,COL,9,R,L,1,1,5,0,2018,Colombia,Colombia vs. England
29,ENG,9,R,R,1,0,6,0,2018,England,Colombia vs. England
29,COL,3,R,R,0,0,7,0,2018,Colombia,Colombia vs. England
29,ENG,1,R,L,1,1,8,0,2018,England,Colombia vs. England
29,COL,4,R,L,1,0,9,0,2018,Colombia,Colombia vs. England
29,ENG,7,R,L,1,1,10,1,2018,England,Colombia vs. England
30,RUS,5,R,C,1,0,1,0,2018,Russia,Russia vs. Croatia
30,CRO,6,R,R,1,1,2,0,2018,Croatia,Russia vs. Croatia
30,RUS,9,R,C,1,1,3,0,2018,Russia,Russia vs. Croatia
30,CRO,9,R,R,1,0,4,0,2018,Croatia,Russia vs. Croatia
30,RUS,7,R,C,0,0,5,0,2018,Russia,Russia vs. Croatia
30,CRO,7,R,L,1,1,6,0,2018,Croatia,Russia vs. Croatia
30,RUS,7,R,R,1,1,7,0,2018,Russia,Russia vs. Croatia
30,CRO,4,R,R,1,1,8,0,2018,Croatia,Russia vs. Croatia
30,RUS,7,R,R,1,1,9,1,2018,Russia,Russia vs. Croatia
30,CRO,7,R,R,1,1,10,1,2018,Croatia,Russia vs. Croatia
